
(LID, 4001), (RL, 327), (text, then turn left on Canal Rd), (path, database//Jane//1624905763-863990-10.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905766)
(LID, 4047), (RL, 373), (text, continue straight on S River Rd), (path, database//Jane//1624905788-17568-52.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4048), (RL, 374), (text, turn left on US-231 S), (path, database//Jane//1624905788-17569-53.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4049), (RL, 375), (text, continue straight to I-65 S), (path, database//Jane//1624905788-17570-54.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905790)

(LID, 4050), (RL, 376), (text, turn right on W Stadium Ave), (path, database//Jane//1624905961-94473-60.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905961)

(LID, 4051), (RL, 377), (text, turn right on Robinson St), (path, database//Jane//1624905961-94477-61.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905961)

(LID, 4052), (RL, 378), (text, turn right on N River Rd), (path, database//Jane//1624905961-94478-62.tts), (storage_type, 2), (text_type, 1), (update_time, 1624905961)

(LID, 4053), (RL, 379), (text, turn left on Williams St), (path, database//Jane//1624906033-486149-63.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906033)

(LID, 4054), (RL, 380), (text, at the roundabout take the first exit on S River Rd), (path, database//Jane//1624906033-486151-64.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906033)

(LID, 4055), (RL, 381), (text, at the roundabout take the first exit), (path, database//Jane//1624906033-486152-65.tts), (storage_type, 2), (text_type, 0), (update_time, 1624906033)

(LID, 4056), (RL, 382), (text, take the first exit on S River Rd), (path, database//Jane//1624906033-486152-66.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906033)

(LID, 4057), (RL, 383), (text, turn left on Vine St), (path, database//Jane//1624906336-368027-4.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4058), (RL, 384), (text, turn right on Wiggins St), (path, database//Jane//1624906336-368028-5.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4059), (RL, 385), (text, then turn right on Wiggins St), (path, database//Jane//1624906336-368028-6.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4060), (RL, 386), (text, turn right on N Grant St), (path, database//Jane//1624906336-363111-0.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4061), (RL, 387), (text, then turn right on N Grant St), (path, database//Jane//1624906336-363433-1.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4062), (RL, 388), (text, turn right on North St), (path, database//Jane//1624906336-363434-2.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4063), (RL, 389), (text, then turn right on North St), (path, database//Jane//1624906336-363434-3.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906336)

(LID, 4064), (RL, 390), (text, then at the roundabout, continue straight on S River Rd), (path, database//Jane//1624906362-927482-11.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4065), (RL, 391), (text, turn left on N Grant St), (path, database//Jane//1624906362-924908-7.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4066), (RL, 392), (text, then turn left on N Grant St), (path, database//Jane//1624906362-924910-8.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4067), (RL, 393), (text, turn left on W Wood St), (path, database//Jane//1624906362-924910-9.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4068), (RL, 394), (text, then at the roundabout, continue straight), (path, database//Jane//1624906362-924910-10.tts), (storage_type, 2), (text_type, 0), (update_time, 1624906363)

(LID, 4069), (RL, 395), (text, turn right to I-74 E / Indianapolis), (path, database//Jane//1624906363-393548-14.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4070), (RL, 396), (text, keep left to I-465 S / I-74 E), (path, database//Jane//1624906363-354477-12.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4071), (RL, 397), (text, use the left two lanes to keep left to I-465 S / I-74 E), (path, database//Jane//1624906363-354480-13.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906363)

(LID, 4072), (RL, 398), (text, continue straight for 30 minutes to I-74 E / Indianapolis), (path, database//Jane//1624906746-197599-15.tts), (storage_type, 2), (text_type, 1), (update_time, 1624906746)

(LID, 4073), (RL, 399), (text, continue straight for 30 minutes to I-465 S / I-74 E), (path, database//Jane//1624908275-224285-16.tts), (storage_type, 2), (text_type, 1), (update_time, 1624908275)

(LID, 4074), (RL, 400), (text, in 5.8 miles), (path, database//Jane//1624909796-207044-17.tts), (storage_type, 2), (text_type, 0), (update_time, 1624909796)

(LID, 4075), (RL, 401), (text, in 5.7 miles), (path, database//Jane//1624909796-207047-18.tts), (storage_type, 2), (text_type, 0), (update_time, 1624909796)

(LID, 4076), (RL, 402), (text, in 5.6 miles), (path, database//Jane//1624909796-207049-19.tts), (storage_type, 2), (text_type, 0), (update_time, 1624909796)

(LID, 4077), (RL, 403), (text, in 5.5 miles), (path, database//Jane//1624909796-207051-20.tts), (storage_type, 2), (text_type, 0), (update_time, 1624909796)

(LID, 4078), (RL, 404), (text, continue straight for 10 minutes to Exit 9B: I-70 W / St. Louis / Indianapolis Int'l Airport), (path, database//Jane//1624910058-199221-21.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910058)

(LID, 4079), (RL, 405), (text, Estimated time in traffic, 8 minutes), (path, database//Jane//1624910126-257089-22.tts), (storage_type, 2), (text_type, 0), (update_time, 1624910126)

(LID, 4080), (RL, 406), (text, turn left to Indianapolis Int'l Airport), (path, database//Jane//1624910919-945422-31.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4081), (RL, 407), (text, then keep left to Indianapolis Int'l Airport), (path, database//Jane//1624910919-945423-32.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4082), (RL, 408), (text, turn left on Bridgeport Rd), (path, database//Jane//1624910919-943899-27.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4083), (RL, 409), (text, turn right on Stafford Rd), (path, database//Jane//1624910919-943900-28.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4084), (RL, 410), (text, turn left on Ronald Reagan Pkwy), (path, database//Jane//1624910919-943901-29.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4085), (RL, 411), (text, keep left to Indianapolis Int'l Airport), (path, database//Jane//1624910919-943901-30.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4086), (RL, 412), (text, keep right to S Perimeter Rd / S Service Rd), (path, database//Jane//1624910919-942974-23.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4087), (RL, 413), (text, then keep right to S Perimeter Rd / S Service Rd), (path, database//Jane//1624910919-942975-24.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4088), (RL, 414), (text, turn right on W Perimeter Rd), (path, database//Jane//1624910919-942976-25.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4089), (RL, 415), (text, then turn right on W Perimeter Rd), (path, database//Jane//1624910919-942976-26.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910921)

(LID, 4090), (RL, 416), (text, turn left on Terminal), (path, database//Jane//1624910933-450696-33.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910933)

(LID, 4091), (RL, 417), (text, then turn left on Terminal), (path, database//Jane//1624910933-450698-34.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910933)

(LID, 4092), (RL, 418), (text, turn left to Terminal), (path, database//Jane//1624910933-450698-35.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910933)

(LID, 4093), (RL, 419), (text, then turn left to Terminal), (path, database//Jane//1624910933-450699-36.tts), (storage_type, 2), (text_type, 1), (update_time, 1624910933)

(LID, 4094), (RL, 420), (text, Exiting average speed enforcement zone), (path, database//Jane//1625141632-395089-0.tts), (storage_type, 2), (text_type, 0), (update_time, 1625141632)

(LID, 4095), (RL, 421), (text, exit right to Exit 331A: I-476 S / Chester), (path, database//Jane//1625141636-897733-6.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4096), (RL, 422), (text, use the right lane to exit right to Exit 331A: I-476 S / Chester), (path, database//Jane//1625141636-897734-7.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4097), (RL, 423), (text, use the right lane to exit to Exit 331A: I-476 S / Chester), (path, database//Jane//1625141636-897734-8.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4098), (RL, 424), (text, turn left to US-202 N), (path, database//Jane//1625141636-896684-2.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4099), (RL, 425), (text, use the left two lanes to turn left), (path, database//Jane//1625141636-896686-3.tts), (storage_type, 2), (text_type, 0), (update_time, 1625141637)

(LID, 4100), (RL, 426), (text, use the left two lanes to turn left to US-202 N), (path, database//Jane//1625141636-896686-4.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4101), (RL, 427), (text, exit to Exit 331A: I-476 S / Chester), (path, database//Jane//1625141636-896687-5.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4102), (RL, 428), (text, keep right to I-76 E / Philadelphia / Devon Park Dr), (path, database//Jane//1625141637-39362-9.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4103), (RL, 429), (text, use the right two lanes to keep right to I-76 E / Philadelphia / Devon Park Dr), (path, database//Jane//1625141637-39367-10.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4104), (RL, 430), (text, keep left to I-76 E / Philadelphia), (path, database//Jane//1625141637-39368-11.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4105), (RL, 431), (text, then keep left to I-76 E / Philadelphia), (path, database//Jane//1625141637-39370-12.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4106), (RL, 432), (text, Let's take US-202 N, and I-476 S. Arrival time on this route, is similar to US-202 S; I-476 S), (path, database//Jane//1625141636-883748-1.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141637)

(LID, 4107), (RL, 433), (text, Let's take US-202 N, and I-476 S), (path, database//Jane//1625141657-704117-13.tts), (storage_type, 2), (text_type, 1), (update_time, 1625141657)

(LID, 4108), (RL, 434), (text, you'll arrive at Philadelphia International Airport (PHL), (path, database//Jane//1625141657-727570-14.tts), (storage_type, 2), (text_type, 3), (update_time, 1625141657)

(LID, 4109), (RL, 435), (text, continue straight for 9 minutes to US-202 N), (path, database//Jane//1625142268-168746-15.tts), (storage_type, 2), (text_type, 1), (update_time, 1625142268)

(LID, 4110), (RL, 436), (text, continue straight for 7 minutes to I-76 E / Philadelphia / Devon Park Dr), (path, database//Jane//1625142792-191619-16.tts), (storage_type, 2), (text_type, 1), (update_time, 1625142792)

(LID, 4111), (RL, 437), (text, continue straight for 15 minutes to I-95 N » Philadelphia), (path, database//Jane//1625143602-193967-17.tts), (storage_type, 2), (text_type, 1), (update_time, 1625143602)

(LID, 4112), (RL, 1), (id, 1), (name, FLL Airport - Car Rental Center), (street, Terminal Dr), (city, Fort Lauderdale), (state, Florida), (house, 600), (longitude, -80137022), (latitude, 26071610), (venue_id, venues.183435525.1834093103.1118006), (created_time, 1618143129), (routing_context, CAAQAyiWz8uDBjAB)

(LID, 4113), (RL, 2), (id, 2), (name, Amani's BYOB), (street, E Lancaster Ave), (city, Downingtown), (country, US), (house, 105), (longitude, -75702966), (latitude, 40006823), (venue_id, venues.186319248.1863192481.797753), (created_time, 1623969666), (routing_context, CAAQAyj3oK-GBjAB)

(LID, 4114), (RL, 3), (id, 3), (name, Philadelphia International Airport (PHL), (street, Essington Ave), (city, Philadelphia), (state, Pennsylvania), (house, 8000), (longitude, -75258627), (latitude, 39875019), (venue_id, venues.186646927.1866207123.250891), (created_time, 1624874928), (routing_context, CAAQAyiuv-aGBjAB)

(LID, 4115), (RL, 4), (id, 4), (name, Indianapolis International Airport (IND), (street, Col. H. Weir Cook Memorial Dr), (city, Indianapolis), (state, Indiana), (house, 7800), (longitude, -86298491), (latitude, 39714518), (venue_id, venues.179372429.1793724292.261807), (created_time, 1624905761), (routing_context, CAAQAyiZsOiGBjAB)

(LID, 4116), (RL, 1), (id, 1), (place_id, 1), (name, FLL Airport - Car Rental Center), (created_time, 1618143129), (access_time, 1618143129), (type, 0), (waypoint_access_time, 0)

(LID, 4117), (RL, 2), (id, 2), (place_id, 2), (name, Amani's BYOB), (created_time, 1623969666), (access_time, 1623969666), (type, 0), (waypoint_access_time, 0)

(LID, 4118), (RL, 3), (id, 3), (place_id, 3), (name, Philadelphia International Airport (PHL), (created_time, 1624874928), (access_time, 1625141635), (type, 0), (waypoint_access_time, 0)

(LID, 4119), (RL, 4), (id, 4), (place_id, 4), (name, Indianapolis International Airport (IND), (created_time, 1624905761), (access_time, 1624905761), (type, 0), (waypoint_access_time, 0)

(LID, 4120), (RL, 1), (name, PLACES), (seq, 4)

(LID, 4121), (RL, 2), (name, RECENTS), (seq, 4)

(LID, 4122), (RL, 276), (text, use the right lane to exit), (path, database//Jane//1624874930-215132-7.tts), (storage_type, 2), (text_type, 0), (update_time, 1624874930)

(LID, 4123), (RL, 277), (text, then keep right), (path, database//Jane//1624874930-215134-8.tts), (storage_type, 2), (text_type, 0), (update_time, 1624874930)

(LID, 4124), (RL, 278), (text, use the right lane to turn right), (path, database//Jane//1624874930-215134-9.tts), (storage_type, 2), (text_type, 0), (update_time, 1624874930)

(LID, 4125), (RL, 279), (text, use the left lane to turn left), (path, database//Jane//1624874930-215135-10.tts), (storage_type, 2), (text_type, 0), (update_time, 1624874930)

(LID, 4126), (RL, 280), (text, 8000 Essington Ave), (path, database//Jane//1624874930-120254-0.tts), (storage_type, 2), (text_type, 2), (update_time, 1624874931)

(LID, 4127), (RL, 281), (text, Philadelphia International Airport (PHL), (path, database//Jane//1624874930-120688-1.tts), (storage_type, 2), (text_type, 0), (update_time, 1624874931)

(LID, 4128), (RL, 282), (text, Let's take US-202 S, and West Chester Pike Willistown), (path, database//Jane//1624874930-120689-2.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4129), (RL, 283), (text, turn left to US-1 N), (path, database//Jane//1624874930-662243-23.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4130), (RL, 284), (text, use the left lane to turn left to US-1 N), (path, database//Jane//1624874930-662247-24.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4131), (RL, 285), (text, turn right on N Providence Rd), (path, database//Jane//1624874930-689157-25.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4132), (RL, 286), (text, use the right lane to turn right on N Providence Rd), (path, database//Jane//1624874930-689161-26.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4133), (RL, 287), (text, turn right to I-476 S » Chester), (path, database//Jane//1624874930-645451-19.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4134), (RL, 288), (text, then turn right to I-476 S » Chester), (path, database//Jane//1624874930-645453-20.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4135), (RL, 289), (text, use the right lane to turn right to I-476 S » Chester), (path, database//Jane//1624874930-645454-21.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4136), (RL, 290), (text, then use the right lane to turn right to I-476 S » Chester), (path, database//Jane//1624874930-645455-22.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4137), (RL, 291), (text, exit to I-476 » Plymouth Meeting / Chester), (path, database//Jane//1624874930-622895-15.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4138), (RL, 292), (text, exit right to I-476 » Plymouth Meeting / Chester), (path, database//Jane//1624874930-622897-16.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4139), (RL, 293), (text, use the right lane to exit right to I-476 » Plymouth Meeting / Chester), (path, database//Jane//1624874930-622897-17.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4140), (RL, 294), (text, use the right lane to exit to I-476 » Plymouth Meeting / Chester), (path, database//Jane//1624874930-622898-18.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4141), (RL, 295), (text, exit to US-202 S), (path, database//Jane//1624874930-936554-35.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4142), (RL, 296), (text, exit right to US-202 S), (path, database//Jane//1624874930-936557-36.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4143), (RL, 297), (text, exit to Exit 10: SR-291 E » Bartram Ave / Cargo City), (path, database//Jane//1624874931-130563-37.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4144), (RL, 298), (text, exit right to Exit 10: SR-291 E » Bartram Ave / Cargo City), (path, database//Jane//1624874931-130566-38.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4145), (RL, 299), (text, use the right lane to exit right to Exit 10: SR-291 E » Bartram Ave / Cargo City), (path, database//Jane//1624874931-130567-39.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4146), (RL, 300), (text, use the right lane to exit to Exit 10: SR-291 E » Bartram Ave / Cargo City), (path, database//Jane//1624874931-130567-40.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4147), (RL, 301), (text, keep left to I-95 N » Philadelphia), (path, database//Jane//1624874931-209027-41.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4148), (RL, 302), (text, use the left two lanes to keep left to I-95 N » Philadelphia), (path, database//Jane//1624874931-209030-42.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4149), (RL, 303), (text, turn right on Providence Rd), (path, database//Jane//1624874930-929076-27.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4150), (RL, 304), (text, use the right lane to turn right on Providence Rd), (path, database//Jane//1624874930-929079-28.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4151), (RL, 305), (text, exit to SR-3 / Newtown Square), (path, database//Jane//1624874930-929079-29.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4152), (RL, 306), (text, exit right to SR-3 / Newtown Square), (path, database//Jane//1624874930-929080-30.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4153), (RL, 307), (text, use the right lane to exit right to SR-3 / Newtown Square), (path, database//Jane//1624874930-932631-31.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4154), (RL, 308), (text, use the right lane to exit to SR-3 / Newtown Square), (path, database//Jane//1624874930-932635-32.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

(LID, 4155), (RL, 309), (text, keep right to SR-3 E / Newtown Square), (path, database//Jane//1624874930-932635-33.tts), (storage_type, 2), (text_type, 1), (update_time, 1624874931)

